,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
45727,ELEC,TERRANEA1 ALPHA,100 Terranea Way,Rancho Palos Verdes,CA,90275,33.739188,-118.397253
45728,ELEC,IRVINE  CO  OFC 670 NCD LVL2 02,670 Newport Center Dr,Newport Beach,CA,92660,33.619953,-117.874591
45729,ELEC,CSU FULLERTON DCFC 02,Unnamed Road,Fullerton,CA,92831,33.879456,-117.883195
45730,ELEC,CSU FULLERTON SGMH LOT 001,Unnamed Road,Fullerton,CA,92831,33.879502,-117.883163
45731,ELEC,ORACLE RWSHORE 420 GARAGE-001,400 Oracle Pkwy,Redwood City,CA,94065,37.531363,-122.263745
45732,ELEC,ORACLE RWSHORE 220 GARAGE-001,200 Oracle Pkwy,Redwood City,CA,94065,37.530649,-122.265639
45733,ELEC,ORACLE RWSHORE 601 GARAGE-001,377-499 Island Pkwy,Belmont,CA,94002,37.530297,-122.269606
45734,ELEC,BMW HANSEL STATION 01,2925 Corby Ave,Santa Rosa,CA,95407,38.406246,-122.716763
45735,ELEC,BMW OF MURRIETA STATION 01,26825 Auto Mall Pkwy,Murrieta,CA,92562,33.531227,-117.170364
45736,ELEC,ORACLE RWSHORE 320 GARAGE-001,300 Oracle Pkwy,Redwood City,CA,94065,37.531059,-122.264657
45737,ELEC,SIERRA COLLEGE ROCKLIN #1,5100 Sierra College Blvd.,Rocklin,CA,95677,38.789043,-121.215709
45738,ELEC,IRVINE  CO  OFC EXEC SQ 4225 02,4225 Executive Square,San Diego,CA,92037,32.874369,-117.215815
45739,ELEC,IRVINE  CO  OFC EXEC SQ 4225 01,4225 Executive Square,San Diego,CA,92037,32.87433,-117.215824
45740,ELEC,IRVINE  CO  OFC DBC 43DISCVRY 2,43 Discovery,Irvine,CA,92618,33.666819,-117.757567
45741,ELEC,IRVINE  CO  OFC DBC 6531 ICD 02,6531 Irvine Center Dr,Irvine,CA,92618,33.670393,-117.762843
45742,ELEC,133 PROMENADE 133 PROMENADE#3,133 The Promenade N,Long Beach,CA,90802,33.7687,-118.191402
45743,ELEC,133 PROMENADE 133 PROMENADE#2,133 The Promenade N,Long Beach,CA,90802,33.768707,-118.191458
45744,ELEC,WALNUT CREEK BROADWAY 7-8,1390 N Broadway,Walnut Creek,CA,94596,37.899114,-122.059134
45745,ELEC,DLR M&F 03&04,1343 Disneyland Dr,Anaheim,CA,92802,33.815028,-117.926358
45746,ELEC,DLR M&F 17&18,1343 Disneyland Dr,Anaheim,CA,92802,33.815032,-117.926809
45747,ELEC,DLR M&F 11&12,1343 Disneyland Dr,Anaheim,CA,92802,33.815035,-117.926548
45748,ELEC,DLR M&F 19&20,1343 Disneyland Dr,Anaheim,CA,92802,33.815025,-117.926916
45749,ELEC,DLR M&F 15&16,1343 Disneyland Dr,Anaheim,CA,92802,33.815034,-117.926742
45750,ELEC,DLR M&F 09&10,1343 Disneyland Dr,Anaheim,CA,92802,33.815036,-117.926516
45751,ELEC,1255 TREAT BLVD NEW STATION 2,1277 Treat Blvd,Walnut Creek,CA,94597,37.927041,-122.059197
45752,ELEC,AFP EV CHARGERS NONGATEWAY 3,1 S Almaden Blvd,San Jose,CA,95113,37.332923,-121.895569
45753,ELEC,AFP EV CHARGERS GATEWAY 1,1 S Almaden Blvd,San Jose,CA,95113,37.333034,-121.89551
45754,ELEC,HACIENDA1 EV STATION #1,4305 Hacienda Dr,Pleasanton,CA,94588,37.693573,-121.893296
45755,ELEC,MARTINEZ CA PACHECO 02,CA-4,Martinez,CA,94553,37.995684,-122.072767
45756,ELEC,MARTINEZ CA PACHECO 03,CA-4,Martinez,CA,94553,37.995734,-122.072811
45757,ELEC,IRVINE  CO  OFC CENTERSIDE 04,3131 Camino del Rio North,San Diego,CA,92108,32.775227,-117.125646
45758,ELEC,IRVINE  CO  OFC CENTERSIDE 02,3131 Camino del Rio North,San Diego,CA,92108,32.77518,-117.125716
45759,ELEC,SIERRA COLLEGE GRASS VALLEY 1,250 Sierra College Drive,Grass Valley,CA,95945,39.235448,-121.048994
45760,ELEC,IRVINE  CO  OFC 630 NCD LVL1 05,630 Newport Center Dr,Newport Beach,CA,92660,33.620141,-117.873405
45761,ELEC,IRVINE  CO  OFC 630 NCD LVL1 03,630 Newport Center Dr,Newport Beach,CA,92660,33.620106,-117.873365
45762,ELEC,IRVINE  CO  OFC 630 NCD LVL1 07,630 Newport Center Dr,Newport Beach,CA,92660,33.620182,-117.873443
45763,ELEC,IRVINE  CO  OFC 610 NCD LVL1 01,610 Newport Center Drive,Newport Beach,CA,92660,33.618206,-117.871468
45764,ELEC,CITY OF NOVATO CTYADMIN GARAGE,922 Machin Ave,Novato,CA,94945,38.106652,-122.568371
45765,ELEC,NAPA RIVER INN CHARGER 1,500 Main St,Napa,CA,94559,38.295921,-122.283032
45766,ELEC,IRVINE  CO  OFC 501 W BROADWY04,501 W Broadway,San Diego,CA,92101,32.714923,-117.167825
45767,ELEC,US BANK TOWER STATION 2,633 W 5th St,Los Angeles,CA,90071,34.050909,-118.254592
45768,ELEC,WESTLAWN STATION 1,633 W 5th St,Los Angeles,CA,90071,34.051038,-118.254436
45769,ELEC,JOHN MUIR HLTH JMHOUTPATIENT#2,1450 Treat Blvd,Walnut Creek,CA,94597,37.926079,-122.053068
45770,ELEC,SJSU P10 CP6A1,65 S 10th St,San Jose,CA,95112,37.338645,-121.880567
45771,ELEC,SJSU P4 CPB1,129 S 10th St,San Jose,CA,95112,37.338094,-121.879322
45772,ELEC,CCSF - SFO SFO INT LOT A-5,San Francisco International Airport Internati,San Francisco,CA,94128,37.614131,-122.391595
45773,ELEC,BRIO BRIOAPARTMENTS2,546 W Colorado St,Glendale,CA,91204,34.142269,-118.266675
45774,ELEC,PROM TOWERS PROM TOWERS 01,123 S Figueroa St,Los Angeles,CA,90012,34.05738,-118.253983
45775,ELEC,SDIA ADMIN LOT 1,Winship Ln,San Diego,CA,92101,32.729733,-117.191426
45776,ELEC,WINDSOR APTS EV 2,2383 N Main St,Walnut Creek,CA,94596,37.913189,-122.066017
45777,ELEC,CCSF SFMTA PORTSMOUTH SQ 2,733 Kearny St,San Francisco,CA,94108,37.794825,-122.40512
45778,ELEC,WHOLE FOODS MKT 1150 OCEAN 2,1150 Ocean Ave,San Francisco,CA,94112,37.723972,-122.454964
45779,ELEC,CITY OF SB EV2 STATION 6,217 Helena Ave,Santa Barbara,CA,93101,34.414961,-119.691981
45780,ELEC,ESQUIRE PLAZA 1215 K ST.,1074-1098 13th St,Sacramento,CA,95814,38.578388,-121.489835
45781,ELEC,BWP EV CHARGE 120 EAST O.G.#2,120 E Orange Grove Ave,Burbank,CA,91502,34.181111,-118.310094
45782,ELEC,VTA ERTC 3,103 Eastridge Loop,San Jose,CA,95122,37.32884,-121.811675
45783,ELEC,VTA ERTC 2,103 Eastridge Loop,San Jose,CA,95122,37.328832,-121.81167
45784,ELEC,WHOLE FOODS MKT FOLSOM 02,270 Palladio Pkwy,Folsom,CA,95630,38.648518,-121.117715
45785,ELEC,CITYOFSANRAFAEL C.ST.GARAGE #2,900 c street,San Rafael,CA,94901,37.972439,-122.530861
45786,ELEC,UDR HQ WEST 1,1745 Shea Center Dr,Highlands Ranch,CO,80129,39.55493,-105.009145
45787,ELEC,HYATT GARAGE 1ST FL SOUTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737811,-104.83542
45788,ELEC,HYATT GARAGE 3RD FL SOUTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737702,-104.835416
45789,ELEC,HYATT GARAGE 2ND FL SOUTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737748,-104.835419
45790,ELEC,HYATT GARAGE 2ND FL NORTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737745,-104.835334
45791,ELEC,HYATT GARAGE 3RD FL NORTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737703,-104.835334
45792,ELEC,HYATT GARAGE 6TH FL,13200 E. 14th Pl.,Aurora,CO,80011,39.737637,-104.835423
45793,ELEC,HYATT GARAGE 4TH FL NORTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737674,-104.835334
45794,ELEC,HYATT GARAGE 1ST FL NORTH,13200 E. 14th Pl.,Aurora,CO,80011,39.737789,-104.83534
45795,ELEC,CITY OF AURORA ILIFF GARAGE 1C,S Blackhawk St,Aurora,CO,80014,39.673045,-104.824454
45796,ELEC,CITY OF AURORA ILIFF GARAGE 1A,S Blackhawk St,Aurora,CO,80014,39.673048,-104.824709
45797,ELEC,STATION 1 VATP 1,1248 S Hover Rd,Longmont,CO,80501,40.146925,-105.12849
45798,ELEC,VAIL PARKING VILLAGE P3 WEST,241 E Meadow Dr,Vail,CO,81657,39.642121,-106.37258
45799,ELEC,VAIL PARKING VILLAGE 2 EAST,241 E Meadow Dr,Vail,CO,81657,39.64196,-106.371193
45800,ELEC,VAIL PARKING VILLAGE20EAST2,241 E Meadow Dr,Vail,CO,81657,39.642001,-106.371149
45801,ELEC,CCD CHARGING. TRADING POST N,17900 Trading Post Rd,Morrison,CO,80465,39.664155,-105.202616
45802,ELEC,BMW OF DENVER DC FAST 01,1040 S Colorado Blvd,Denver,CO,80246,39.697608,-104.939159
45803,ELEC,MURRAY BMW 1 STATION SA02,4350 E Kentucky Ave,Denver,CO,80246,39.699081,-104.937727
45804,ELEC,ROCKIES PARKING GARAGE FL 1 #2,2722-2900 Broadway,Denver,CO,80205,39.76124,-104.987643
45805,ELEC,GRIFFIS LODO VERVE P2 #2,1820 15th St,Denver,CO,80202,39.75182,-105.003843
45806,ELEC,CITY OF AURORA AMC L1 #1,15151 E Alameda Pkwy,Aurora,CO,80012,39.711649,-104.812352
45807,ELEC,CITY OF DURANGO TC2,250 W 8th St,Durango,CO,81301,37.272326,-107.883262
45808,ELEC,CITY OF DURANGO TC1,250 W 8th St,Durango,CO,81301,37.272286,-107.883285
46205,ELEC,BELLEFIELD MADRONA 2,1300 114th Ave SE,Bellevue,WA,98004,47.599721,-122.187136
46206,ELEC,202 WESTLAKE P2 STATION 01,200 Westlake Ave N,Seattle,WA,98109,47.62002,-122.338144
46356,ELEC,DC CORRIDOR FRAZIERPARK DC1,73 Frazier Mountain Park Rd,Lebec,CA,93243,34.818129,-118.882998
46358,ELEC,PMB PASADENA PASADENA #3,625 S Fair Oaks Ave,Pasadena,CA,91105,34.135091,-118.1511
46359,ELEC,PMB PASADENA PASADENA #2,625 S Fair Oaks Ave,Pasadena,CA,91105,34.135018,-118.15111
46360,ELEC,PMB PASADENA PASADENA #4,625 S Fair Oaks Ave,Pasadena,CA,91105,34.135116,-118.151145
46361,ELEC,CVMD CVMD 5,804 3rd St,Clovis,CA,93612,36.825871,-119.698868
46362,ELEC,CVMD CVMD 1,804 3rd St,Clovis,CA,93612,36.825873,-119.698942
46363,ELEC,CVMD CVMD 7,804 3rd St,Clovis,CA,93612,36.82589,-119.698757
46364,ELEC,CVMD CVMD 4,804 3rd St,Clovis,CA,93612,36.825882,-119.698914
46365,ELEC,CVMD CVMD 2,804 3rd St,Clovis,CA,93612,36.825893,-119.698783
46366,ELEC,CVMD CVMD 3,804 3rd St,Clovis,CA,93612,36.825892,-119.698918
46367,ELEC,CVMD CVMD 8,804 3rd St,Clovis,CA,93612,36.825894,-119.698732
46368,ELEC,CVMD CVMD 9,804 3rd St,Clovis,CA,93612,36.82589,-119.698678
46369,ELEC,CVMD CVMD 6,804 3rd St,Clovis,CA,93612,36.825874,-119.698846
46373,ELEC,SARATOGASPRINGS SARATOGA SPGS 1,6800 N Saratoga Rd,Saratoga Springs,UT,84045,40.355953,-111.901634
46374,ELEC,SARATOGASPRINGS SARATOGA SPGS 2,6800 N Saratoga Rd,Saratoga Springs,UT,84045,40.355618,-111.902534
46393,ELEC,STATEOFUTDAS PROVORGNLCTR4,150 S 100 E,Provo,UT,84606,40.232764,-111.656214
46394,ELEC,STATEOFUTDAS PROVORGNLCTR2,150 S 100 E,Provo,UT,84606,40.232771,-111.656104
46395,ELEC,STATEOFUTDAS PROVORGNLCTR3,150 S 100 E,Provo,UT,84606,40.232736,-111.65618
46396,ELEC,STATEOFUTDAS PROVORGNLCTR1,150 E 100 S St,Provo,UT,84606,40.232762,-111.655988
46402,ELEC,MOTORPOOL VISITOR CTR 1,103 Sid Snyder Ave SW,Olympia,WA,98501,47.035325,-122.901166
46405,ELEC,BELMAR LIBRARY BELMAR 2,555 S Allison Pkwy,Lakewood,CO,80226,39.70609,-105.08356
46409,ELEC,ONE PASEO 12845 PVW 04,12845 Paseo Village Way,San Diego,CA,92130,32.950945,-117.236654
46410,ELEC,ONE PASEO 12845 PVW 01,12845 Paseo Village Way,San Diego,CA,92130,32.950935,-117.236617
46411,ELEC,ONE PASEO 12845 PVW 05,12845 Paseo Village Way,San Diego,CA,92130,32.950898,-117.236669
46412,ELEC,ONE PASEO 12845 PVW 03,12845 Paseo Village Way,San Diego,CA,92130,32.950996,-117.236637
46416,ELEC,FATAP AIRPORT SINGLE PORT GW,1515 N Peach Ave,Fresno,CA,93727,36.763558,-119.720087
46426,ELEC,DC CORRIDOR TEHACHAPI DC2,9000 Magellan Dr,Tehachapi,CA,93561,35.142173,-118.448948
46427,ELEC,DC CORRIDOR CHOW SHELL L2,105 Chowchilla Bvd,Chowchilla,CA,93610,37.125489,-120.256847
46436,ELEC,RC WILLEY LAYTON 2,2195 University Park Blvd,Layton,UT,84041,41.091516,-111.990419
46437,ELEC,SLCO FLEET REC CENTER 2,657 Vestry Rd,Draper,UT,84020,40.491074,-111.87167
46446,ELEC,MSTC EV CHARGER CHARGEPOINT 2,52701 CA-371,Anza,CA,92539,33.54074,-116.740757
46447,ELEC,MSTC EV CHARGER CHARGEPOINT 3,52701 CA-371,Anza,CA,92539,33.540784,-116.740733
46459,ELEC,TPS NATOMAS STATION 2,4090 E Commerce Way,Sacramento,CA,95834,38.643487,-121.518122
46460,ELEC,DC CORRIDOR LOS BANOS 4K,1458 Mercey Springs Rd,Los Banos,CA,93635,37.055443,-120.835174
46461,ELEC,FORT COLLINS PRPA EAST,2000 E Horsetooth Rd,Fort Collins,CO,80525,40.53834,-105.041985
46462,ELEC,BOULDER COUNTY COFFMAN FLT 3,508 Terry St,Longmont,CO,80501,40.167767,-105.10479
46481,ELEC,DC CORRIDOR KYBURZ LODGE L2,17510 US-50,Kyburz,CA,95735,38.796135,-120.146126
46482,ELEC,PRESIDIO TRUST TAYLOR ROAD 1,103 Taylor Rd,San Francisco,CA,94129,37.801104,-122.459481
46483,ELEC,PRESIDIO TRUST TAYLOR ROAD 4,103 Taylor Rd,San Francisco,CA,94129,37.801043,-122.459516
46488,ELEC,KAYSVILLECITY BARNES PARK S P,354 N Flint St,Kaysville,UT,84037,41.040607,-111.96352
46489,ELEC,DC CORRIDOR TRUCKEE DC1,10069 Church St,Truckee,CA,96161,39.328884,-120.18251
46490,ELEC,DC CORRIDOR TRUCKEE L2 - 1,10069 Church St,Truckee,CA,96161,39.328804,-120.18257
46491,ELEC,DC CORRIDOR TRUCKEE L2 - 2,10069 Church St,Truckee,CA,96161,39.32885,-120.18253
46492,ELEC,LONG BEACH LONG BEACH QM03,1126 Queens Hwy,Long Beach,CA,90802,33.752415,-118.190887
46493,ELEC,LONG BEACH LONG BEACH QM04,1126 Queens Hwy,Long Beach,CA,90802,33.752542,-118.190828
46494,ELEC,LONG BEACH LONG BEACH QM06,1126 Queens Hwy,Long Beach,CA,90802,33.752624,-118.190779
46495,ELEC,LONG BEACH LONG BEACH QM01,1135 Queens Hwy,Long Beach,CA,90802,33.752314,-118.190938
46496,ELEC,CITY OF CHINO COCC #1,13201 Central Ave,Chino,CA,91710,34.013233,-117.688765
46497,ELEC,CITY OF CHINO CITY HALL #1,13220 Central,Chino,CA,91710,34.013129,-117.691256
46500,ELEC,KAYSVILLECITY HERITAGE PARK S,95 E 200 N,Kaysville,UT,84037,41.039076,-111.936916
46501,ELEC,"STC VENTURE CT 14,16",330 S Murphy Ave,Sunnyvale,CA,94086,37.373468,-122.031186
46502,ELEC,"STC VENTURE EV2-CT 10,12",330 S Murphy Ave,Sunnyvale,CA,94086,37.373503,-122.031172
46503,ELEC,"STC VENTURE EV2-CT 6,8",330 S Murphy Ave,Sunnyvale,CA,94086,37.373487,-122.031143
46504,ELEC,"STC VENTURE EV1-CT 1,3",330 S Murphy Ave,Sunnyvale,CA,94086,37.372954,-122.030995
46505,ELEC,"STC VENTURE EV2-CT 5,7",330 S Murphy Ave,Sunnyvale,CA,94086,37.372907,-122.030971
46506,ELEC,"STC VENTURE EV1-CT 18,20",330 S Murphy Ave,Sunnyvale,CA,94086,37.372971,-122.030954
46507,ELEC,"STC VENTURE EV1-CT 22,24",330 S Murphy Ave,Sunnyvale,CA,94086,37.372947,-122.030964
46508,ELEC,"STC VENTURE EV2-CT 9,11",330 S Murphy Ave,Sunnyvale,CA,94086,37.373578,-122.031062
46509,ELEC,"STC VENTURE EV2-CT 13,15",330 S Murphy Ave,Sunnyvale,CA,94086,37.373607,-122.03105
46510,ELEC,"STC VENTURE EV1-CT 10,12",330 S Murphy Ave,Sunnyvale,CA,94086,37.373582,-122.031098
46511,ELEC,"STC VENTURE EV1-CT 14,16",330 S Murphy Ave,Sunnyvale,CA,94086,37.37362,-122.031075
46512,ELEC,"STC VENTURE EV2-CT 25,27",330 S Murphy Ave,Sunnyvale,CA,94086,37.372919,-122.031043
46513,ELEC,"STC VENTURE EV1-CT 6,8",330 S Murphy Ave,Sunnyvale,CA,94086,37.373472,-122.030866
46514,ELEC,"STC VENTURE EV1-CT 17,19",330 S Murphy Ave,Sunnyvale,CA,94086,37.373453,-122.030921
46515,ELEC,"STC VENTURE EV1-CT 9,11",330 S Murphy Ave,Sunnyvale,CA,94086,37.373531,-122.030901
46516,ELEC,"STC VENTURE EV2-CT 21,23",330 S Murphy Ave,Sunnyvale,CA,94086,37.373502,-122.030854
46517,ELEC,"STC VENTURE EV1-CT 13,15",330 S Murphy Ave,Sunnyvale,CA,94086,37.373607,-122.031134
46518,ELEC,"STC VENTURE EV2-CT 2,4",330 S Murphy Ave,Sunnyvale,CA,94086,37.373324,-122.030998
46519,ELEC,"STC VENTURE EV1-CT 2,4",330 S Murphy Ave,Sunnyvale,CA,94086,37.37348,-122.030911
46520,ELEC,"STC VENTURE EV2-CT 1,3",330 S Murphy Ave,Sunnyvale,CA,94086,37.372982,-122.030988
46521,ELEC,"STC VENTURE EV2-CT 26,28",330 S Murphy Ave,Sunnyvale,CA,94086,37.373582,-122.031033
46522,ELEC,"STC VENTURE EV1-CT 25,27",330 S Murphy Ave,Sunnyvale,CA,94086,37.373609,-122.031021
46523,ELEC,"STC VENTURE EV1-CT 21,23",330 S Murphy Ave,Sunnyvale,CA,94086,37.372909,-122.031008
46524,ELEC,"STC VENTURE EV1-CT 5,7",330 S Murphy Ave,Sunnyvale,CA,94086,37.373573,-122.031146
46525,ELEC,"STC VENTURE EV2-CT 17,19",330 S Murphy Ave,Sunnyvale,CA,94086,37.373535,-122.030844
46526,ELEC,SACRAMENTO CAP-3RD-2,Capitol Garage 1303 10th Street,Sacramento,CA,95814,38.578202,-121.49312
46527,ELEC,SACRAMENTO CAP-2ND-3,Capitol Garage 1303 10th Street,Sacramento,CA,95814,38.578488,-121.493893
46528,ELEC,SACRAMENTO CAP-2ND-2,Capitol Garage 1303 10th Street,Sacramento,CA,95814,38.5784,-121.493882
46529,ELEC,SACRAMENTO CAP-2ND-1,Capitol Garage 1303 10th Street,Sacramento,CA,95814,38.578475,-121.49385
46530,ELEC,SACRAMENTO CAP-3RD-1,Capitol Garage 1303 10th Street,Sacramento,CA,95814,38.57826,-121.49311
46531,ELEC,SACRAMENTO CAP-3RD-4,Capitol Garage 1303 10th Street,Sacramento,CA,95814,38.578101,-121.493142
46532,ELEC,SACRAMENTO MEM-5,Memorial Garage 801 14th St,Sacramento,CA,95814,38.580389,-121.486233
46533,ELEC,SACRAMENTO MEM-1,Memorial Garage 801 14th St,Sacramento,CA,95814,38.580222,-121.486093
46534,ELEC,SACRAMENTO MEM-3,Memorial Garage 801 14th St,Sacramento,CA,95814,38.580272,-121.486222
46535,ELEC,SACRAMENTO MEM-4,Memorial Garage 801 14th St,Sacramento,CA,95814,38.58028,-121.486265
46536,ELEC,SACRAMENTO OSG-2,Old Sacramento Garage 125 I Street,Sacramento,CA,95814,38.583718,-121.503019
46537,ELEC,SACRAMENTO OSG-3,Old Sacramento Garage 125 I Street,Sacramento,CA,95814,38.58374,-121.503098
46538,ELEC,SACRAMENTO OSG-4,Old Sacramento Garage 125 I Street,Sacramento,CA,95814,38.583758,-121.503197
46539,ELEC,SACRAMENTO OSG-5,Old Sacramento Garage 125 I Street,Sacramento,CA,95814,38.583777,-121.503298
46540,ELEC,SACRAMENTO TBG-1,Tower Bridge Garage 1289 Front Street,Sacramento,CA,95814,38.580887,-121.506195
46541,ELEC,SACRAMENTO TBG-2,Tower Bridge Garage 1289 Front Street,Sacramento,CA,95814,38.580845,-121.5062
46542,ELEC,SACRAMENTO TBG-3,Tower Bridge Garage 1289 Front Street,Sacramento,CA,95814,38.580685,-121.50628
46543,ELEC,SACRAMENTO TBG-5,Tower Bridge Garage 1289 Front Street,Sacramento,CA,95814,38.580547,-121.50634
46544,ELEC,SACRAMENTO CHG-2ND-2,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581135,-121.492836
46545,ELEC,SACRAMENTO CHG-2ND-3,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581192,-121.492836
46546,ELEC,SACRAMENTO CHG-2ND-1,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580944,-121.49295
46547,ELEC,SACRAMENTO CHG-2ND-6,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580853,-121.49248
46548,ELEC,SACRAMENTO CHG-ROOF-12,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581112,-121.49296
46549,ELEC,SACRAMENTO CHG-ROOF-15,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581078,-121.49261
46550,ELEC,SACRAMENTO CHG-ROOF-8,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580975,-121.493004
46551,ELEC,SACRAMENTO CHG-ROOF-9,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.58103,-121.49294
46552,ELEC,SACRAMENTO CHG-ROOF-11,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.58108,-121.49296
46553,ELEC,SACRAMENTO CHG-ROOF-10,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581047,-121.49295
46554,ELEC,SACRAMENTO CHG-ROOF-3,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.58101,-121.49235
46555,ELEC,SACRAMENTO CHG-ROOF-4,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.58092,-121.492325
46556,ELEC,SACRAMENTO CHG-ROOF-2,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580956,-121.49247
46557,ELEC,SACRAMENTO CHG-ROOF-14,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580956,-121.49266
46558,ELEC,SACRAMENTO CHG-ROOF-13,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581177,-121.49293
46559,ELEC,SACRAMENTO CHG-ROOF-5,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.58106,-121.4926
46560,ELEC,SACRAMENTO CHG-ROOF-6,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581047,-121.49238
46561,ELEC,SACRAMENTO CHG-ROOF-7,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580916,-121.493029
46562,ELEC,SACRAMENTO CHG-2ND-5,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.581146,-121.492905
46563,ELEC,SACRAMENTO CHG-ROOF-1,City Hall Garage  939 10th Street,Sacramento,CA,95814,38.580925,-121.49255
46573,ELEC,FULLERTON TOWER EAST - DOUBLE,1390 N Harbor Blvd,Fullerton,CA,92835,33.884265,-117.924644
46574,ELEC,FULLERTON TOWER SOUTH - SINGLE,1390 N Harbor Blvd,Fullerton,CA,92835,33.883992,-117.924797
46575,ELEC,IPT HAYWARD LC IPT HAYWARD #2,2701 W Winton Ave,Hayward,CA,94545,37.651127,-122.143135
46576,ELEC,IPT HAYWARD LC IPT HAYWARD #1,2701 W Winton Ave,Hayward,CA,94545,37.651108,-122.14325
46577,ELEC,IPT HAYWARD LC IPT HAYWARD #3,2701 W Winton Ave,Hayward,CA,94545,37.651134,-122.14297
46578,ELEC,IPT HAYWARD LC IPT HAYWARD #9,2701 W Winton Ave,Hayward,CA,94545,37.651104,-122.14252
46579,ELEC,IPT HAYWARD LC IPT HAYWARD #7,2701 W Winton Ave,Hayward,CA,94545,37.65107,-122.1426
46580,ELEC,IPT HAYWARD LC IPT HAYWARD #6,2701 W Winton Ave,Hayward,CA,94545,37.651096,-122.14271
46581,ELEC,ECG SERVICE CTR 1,3299 Cooley Mesa Rd,Gypsum,CO,81637,39.638977,-106.943272
46584,ELEC,KOZ WEAVER WEAVER RD MIDDL,1925 Weaver Rd,Snohomish,WA,98290,47.938226,-122.108766
46585,ELEC,4CD BRW STN 8,1351 Pioneer Square,Brentwood,CA,94513,37.896898,-121.719503
46586,ELEC,4CD BRW STN 1,1351 Pioneer Square,Brentwood,CA,94513,37.896847,-121.719533
46587,ELEC,4CD BRW STN 13,1351 Pioneer Square,Brentwood,CA,94513,37.896907,-121.719269
46588,ELEC,4CD BRW STN 6,1351 Pioneer Square,Brentwood,CA,94513,37.89685,-121.719232
46589,ELEC,4CD BRW STN 3,1351 Pioneer Square,Brentwood,CA,94513,37.896852,-121.719383
46590,ELEC,4CD BRW STN 12,1351 Pioneer Square,Brentwood,CA,94513,37.8969,-121.719316
46591,ELEC,4CD BRW STN 2,1351 Pioneer Square,Brentwood,CA,94513,37.896847,-121.719442
46592,ELEC,4CD BRW STN 11,1351 Pioneer Square,Brentwood,CA,94513,37.896902,-121.719359
46593,ELEC,4CD BRW STN 5,1351 Pioneer Square,Brentwood,CA,94513,37.896856,-121.719298
46594,ELEC,4CD BRW STN 9,1351 Pioneer Square,Brentwood,CA,94513,37.896902,-121.719455
46595,ELEC,4CD BRW STN 4,1351 Pioneer Square,Brentwood,CA,94513,37.896851,-121.719341
46596,ELEC,4CD BRW STN 10,1351 Pioneer Square,Brentwood,CA,94513,37.896905,-121.719408
46597,ELEC,IMPARK SF LOT A - 2,6653 3rd St,San Francisco,CA,94158,37.773117,-122.389022
46599,ELEC,LBX HANGAR 3,4150 E McGowen St,Long Beach,CA,90846,33.829867,-118.145034
46600,ELEC,LBX HANGAR 1,4150 E McGowen St,Long Beach,CA,90846,33.829868,-118.144935
46601,ELEC,LBX OLD NAVY 4,4250 E Carson St,Long Beach,CA,90846,33.831033,-118.144171
46602,ELEC,STATION CARMEL SUNSET CENTER N,2 San Carlos St,Carmel-by-the-Sea,CA,93921,36.552517,-121.921224
46620,ELEC,LONG BEACH CONVENTION CTR3,400 E Seaside Way,Long Beach,CA,90802,33.765299,-118.187745
46621,ELEC,LONG BEACH CONVENTION CTR5,400 E Seaside Way,Long Beach,CA,90802,33.765504,-118.188428
46622,ELEC,LONG BEACH CONVENTION CTR4,400 E Seaside Way,Long Beach,CA,90802,33.765472,-118.188438
46623,ELEC,LONG BEACH CONVENTION CTR2,400 E Seaside Way,Long Beach,CA,90802,33.765305,-118.187724
46631,ELEC,LOBBY ANAHEIM HOTEL 2,1700 S Harbor Blvd,Anaheim,CA,92802,33.80644,-117.914704
46632,ELEC,CITY OF SB EV2 GRANADA EV 15,22 E Victoria St,Santa Barbara,CA,93101,34.424615,-119.704682
46633,ELEC,CITY OF SB EV2 GRANADA EV 13,22 E Victoria St,Santa Barbara,CA,93101,34.424616,-119.704661
